# Frequency list

# Corpus: decow16b
# Query:  "[eE]in" "[bB]i(ss|ß)chen" [tag="ADJ.*|N.*"] 548922

# Frequency limit: 0


Token	Frequency	
-------------------------------------------------------
ein bisschen besser	10664	
ein bisschen Zeit	10074	
ein bisschen Glück	6431	
ein bisschen länger	6224	
ein bisschen Geld	4482	
ein bisschen Angst	4045	
ein bisschen komisch	3958	
ein bisschen genauer	3561	
ein bisschen Spaß	2649	
ein bisschen stolz	2402	
ein bisschen traurig	2218	
ein bisschen Geduld	2172	
ein bisschen schneller	2131	
ein bisschen spät	2117	
ein bißchen Zeit	2030	
ein bisschen größer	2026	
ein bisschen Übung	1964	
ein bisschen schwierig	1877	
ein bißchen besser	1875	
ein bisschen langweilig	1870	
ein bisschen schade	1852	
ein bisschen frisches	1844	
ein bisschen Gameplay	1831	
ein bisschen UFC	1800	
ein bisschen weit	1767	
ein bisschen blöd	1746	
ein bisschen näher	1742	
ein bisschen älter	1572	
ein bisschen Werbung	1562	
ein bisschen schwer	1508	
ein bisschen peinlich	1361	
ein bisschen Ruhe	1305	
ein bißchen länger	1278	
ein bisschen doof	1258	
ein bisschen später	1197	
ein bisschen Abwechslung	1192	
ein bisschen höher	1173	
ein bisschen seltsam	1161	
ein bisschen neidisch	1150	
ein bisschen kleiner	1110	
ein bisschen Ahnung	1103	
ein bisschen arg	1083	
ein bißchen Glück	1046	
ein bisschen Mut	1030	
ein bisschen Wasser	992	
ein bisschen skeptisch	983	
ein bisschen weh	975	
ein bisschen leichter	967	
ein bisschen Arbeit	937	
ein bisschen nervös	925	
ein bisschen müde	925	
ein bisschen Hilfe	919	
ein bisschen teurer	912	
ein bisschen Farbe	909	
ein bisschen ruhiger	903	
ein bisschen tiefer	902	
ein bisschen enttäuscht	896	
ein bisschen langsamer	887	
ein bisschen merkwürdig	875	
ein bisschen Luft	870	
ein bisschen früh	864	
ein bisschen Platz	851	
ein bisschen kurz	833	
ein bisschen Mühe	825	
ein bisschen leid	822	
ein bißchen Angst	815	
ein bisschen Licht	805	
ein bisschen hart	797	
ein bisschen teuer	792	
Ein bisschen Spaß	791	
ein bisschen klein	785	
ein bisschen gegoogelt	785	
ein bisschen Erfahrung	781	
ein bisschen Hoffnung	772	
ein bisschen Abstand	768	
ein bisschen Sorgen	761	
ein bißchen wärmer	756	
ein bisschen Musik	755	
ein bißchen Geld	742	
ein bisschen schwerer	742	
Ein bisschen Frieden	720	
ein bisschen einfacher	717	
ein bisschen schwieriger	705	
ein bisschen gemein	674	
ein bisschen schlecht	656	
ein bisschen schlau	655	
ein bisschen schlauer	652	
ein bisschen Sonne	649	
ein bisschen dumm	645	
ein bisschen lang	639	
ein bisschen Bewegung	637	
ein bisschen stärker	620	
ein bisschen vorsichtig	617	
ein bisschen nervig	616	
ein bisschen lauter	609	
ein bißchen komisch	605	
ein bisschen unheimlich	605	
ein bisschen Pech	596	
ein bisschen unsicher	593	
ein bisschen falsch	590	
ein bisschen schöner	586	
ein bisschen schwanger	584	
ein bisschen Druck	576	
ein bißchen Geduld	573	
ein bisschen Wehmut	565	
ein bisschen verwirrend	559	
ein bisschen eng	559	
ein bisschen wärmer	557	
ein bisschen Sport	555	
ein bisschen Fantasie	541	
ein bisschen sauer	525	
ein bisschen komplizierter	524	
ein bißchen Spaß	521	
ein bisschen lockerer	499	
ein bisschen lächerlich	498	
ein bisschen Leben	498	
ein bisschen naiv	497	
ein bisschen Geschick	497	
ein bisschen unfair	493	
ein bißchen schneller	490	
ein bisschen Spass	487	
ein bisschen kürzer	486	
ein bißchen spät	476	
ein bisschen anstrengend	472	
ein bisschen knapp	471	
ein bisschen schwach	469	
ein bisschen angst	464	
ein bisschen albern	460	
ein bisschen Stolz	458	
ein bisschen mulmig	456	
ein bißchen weit	453	
ein bisschen unglücklich	452	
ein bisschen ratlos	452	
ein bisschen Liebe	452	
ein bisschen härter	446	
ein bißchen größer	444	
ein bisschen Probleme	441	
ein bisschen lustig	430	
ein bisschen heftig	428	
ein bisschen langsam	427	
ein bisschen schnell	419	
ein bisschen hoch	416	
ein bisschen groß	416	
ein bisschen billiger	415	
Ein bisschen Zeit	415	
ein bisschen Schnee	414	
ein bißchen stolz	412	
ein bisschen Respekt	410	
ein bisschen Action	410	
ein bisschen ignorant	409	
ein bisschen Wind	407	
ein bißchen näher	405	
ein bisschen Ordnung	405	
ein bisschen schlechter	402	
ein bisschen Unterstützung	400	
ein bisschen heller	398	
ein bisschen Freizeit	398	
ein bisschen Blut	398	
ein bisschen Aufmerksamkeit	398	
ein bisschen ähnlich	397	
ein bisschen Regen	392	
ein bisschen Kritik	389	
ein bißchen schwer	388	
ein bisschen dunkel	386	
ein bisschen ausführlicher	386	
Ein bisschen Glück	386	
ein bisschen einfach	385	
ein bisschen gruselig	384	
ein bisschen umständlich	383	
ein bißchen schwierig	382	
ein bißchen Übung	381	
ein bisschen Kohle	377	
ein bisschen dick	376	
ein bisschen Englisch	376	
ein bisschen warm	369	
ein bisschen rot	365	
ein bisschen Deutsch	365	
ein bisschen Bammel	365	
ein bisschen dicker	363	
Ein bisschen schade	363	
ein bißchen genauer	361	
ein bisschen günstiger	361	
ein bisschen Spannung	357	
ein bisschen Phantasie	355	
ein bißchen traurig	354	
ein bisschen dunkler	354	
ein bisschen unangenehm	353	
ein bisschen klarer	353	
ein bißchen älter	351	
ein bißchen blöd	351	
ein bisschen kalt	350	
ein bisschen frech	348	
ein bisschen Luxus	346	
ein bisschen Urlaub	345	
ein bisschen Freude	344	
ein bisschen wehmütig	343	
ein bisschen vorsichtiger	341	
ein bisschen gewöhnungsbedürftig	340	
ein bisschen Recht	339	
ein bisschen neugierig	337	
ein bißchen Werbung	335	
ein bisschen ängstlich	333	
ein bißchen enttäuscht	331	
ein bisschen Öl	328	
ein bisschen Sorge	326	
ein bißchen DC	323	
ein bisschen Schlaf	320	
ein bisschen böse	318	
ein bisschen Kraft	318	
ein bisschen OT	315	
ein bisschen billig	313	
ein bisschen krass	307	
ein bisschen chaotisch	305	
ein bißchen arg	302	
ein bisschen gefährlich	302	
ein bisschen frische	299	
ein bisschen Humor	299	
ein bisschen alt	298	
ein bisschen Stress	294	
ein bisschen schief	293	
ein bisschen Verständnis	293	
ein bisschen recht	291	
ein bisschen grösser	291	
ein bisschen ärgerlich	290	
ein bisschen eifersüchtig	290	
ein bisschen Gas	290	
ein bisschen Wärme	287	
ein bisschen krank	285	
ein bisschen enttäuschend	285	
ein bißchen schade	284	
ein bisschen bunter	283	
ein bisschen geld	282	
ein bisschen freundlicher	282	
ein bisschen faul	281	
ein bisschen Kreativität	278	
Ein bisschen Geduld	278	
ein bisschen Eis	277	
ein bisschen Mitleid	276	
ein bißchen Ruhe	274	
ein bisschen leiser	274	
ein bißchen neidisch	272	
ein bisschen kitschig	272	
ein bisschen Training	272	
ein bisschen Schwung	272	
ein bisschen Kultur	271	
ein bisschen Kleingeld	271	
ein bißchen Mut	267	
ein bisschen verrückt	266	
ein bisschen Frieden	266	
ein bisschen Leid	265	
ein bisschen breiter	264	
ein bisschen kreativ	263	
ein bisschen intensiver	263	
ein bisschen stutzig	262	
ein bisschen Stimmung	262	
ein bisschen Schiss	262	
ein bisschen deutlicher	261	
ein bißchen peinlich	260	
ein bisschen fester	259	
ein bisschen stressig	258	
ein bisschen Recherche	258	
ein bisschen spannender	254	
ein bisschen Pause	254	
ein bisschen netter	251	
ein bisschen mager	250	
ein bisschen feucht	250	
ein bisschen altmodisch	250	
ein bisschen shoppen	245	
ein bißchen langweilig	244	
ein bisschen unübersichtlich	244	
ein bisschen Wahrheit	244	
ein bisschen Bluna	244	
ein bisschen gut	243	
ein bisschen befremdlich	242	
ein bisschen Verstand	242	
ein bißchen Ahnung	239	
ein bißchen leid	237	
Ein bisschen enttäuscht	237	
ein bißchen Wasser	236	
ein bisschen problematisch	235	
ein bisschen gutem	234	
ein bisschen Nachdenken	234	
ein bißchen kleiner	233	
ein bisschen enger	232	
ein bisschen Vertrauen	231	
Ein bisschen traurig	231	
Ein bisschen komisch	230	
ein bisschen Feedback	228	
ein bisschen blass	227	
Ein bisschen Wehmut	227	
ein bißchen höher	226	
ein bisschen jünger	225	
ein bisschen glücklich	224	
ein bisschen Text	224	
ein bisschen konkreter	223	
ein bißchen weh	222	
ein bisschen sicherer	221	
ein bisschen dürftig	220	
ein bisschen Panik	220	
ein bisschen Dampf	219	
ein bisschen nachdenklich	218	
ein bisschen kaputt	218	
Ein bißchen Frieden	218	
ein bisschen Bedenken	217	
ein bisschen entspannter	216	
ein bisschen arrogant	216	
ein bisschen Romantik	216	
ein bißchen seltsam	215	
ein bisschen persönlicher	213	
ein bisschen wirr	212	
ein bisschen spannend	212	
ein bisschen laut	212	
ein bisschen Entspannung	212	
Ein bisschen Angst	212	
ein bißchen früh	211	
ein bisschen schräg	211	
ein bisschen Futter	211	
ein bisschen Obst	208	
ein bisschen Gefühl	207	
ein bisschen rumgespielt	206	
ein bisschen kritisch	206	
ein bisschen interessanter	206	
ein bisschen froh	206	
ein bisschen fies	203	
ein bisschen Sex	203	
ein bißchen doof	202	
ein bisschen Salz	202	
ein bisschen ungewohnt	201	
ein bißchen später	199	
ein bißchen merkwürdig	199	
ein bißchen Luft	199	
ein bisschen platt	199	
Ein bißchen Spaß	199	
ein bißchen Platz	197	
ein bisschen dämlich	196	
ein bisschen Sicherheit	196	
ein bisschen Wissen	195	
ein bisschen Grün	195	
ein bißchen Sorgen	193	
ein bisschen Nachhilfe	193	
ein bisschen Fingerspitzengefühl	193	
Ein bisschen mulmig	193	
ein bißchen Mühe	192	
ein bisschen schlimmer	192	
ein bisschen frisch	192	
Ein bisschen Spass	192	
ein bisschen leer	191	
ein bisschen Zucker	191	
ein bisschen Smalltalk	191	
ein bisschen eklig	190	
ein bisschen eigenartig	190	
ein bisschen Lob	190	
ein bisschen Gras	190	
ein bißchen Abwechslung	189	
ein bisschen unlogisch	189	
ein bisschen nass	189	
ein bisschen ernster	189	
Ein bisschen spät	189	
ein bisschen Alkohol	187	
ein bißchen gegoogelt	186	
ein bißchen Farbe	186	
ein bisschen ungewöhnlich	186	
ein bisschen verarscht	184	
ein bisschen früher	184	
ein bisschen Theorie	184	
ein bisschen Rücksicht	184	
ein bisschen Neid	184	
ein bißchen teurer	183	
ein bisschen Unterhaltung	183	
ein bisschen lahm	182	
ein bisschen Fußball	181	
ein bißchen Bluna	180	
ein bisschen nett	180	
ein bisschen Schade	180	
ein bisschen Aufwand	180	
ein bisschen einsam	179	
ein bisschen Sand	179	
ein bißchen Arbeit	178	
ein bisschen Erholung	178	
ein bisschen schwarz	177	
ein bisschen happig	177	
ein bisschen glücklicher	176	
ein bisschen Geschichte	176	
Ein bisschen stolz	176	
ein bisschen blöde	175	
ein bißchen tiefer	174	
ein bisschen Trost	174	
Ein bisschen Abwechslung	174	
ein bisschen Ärger	173	
ein bisschen wütend	173	
Ein bisschen später	173	
ein bißchen leichter	172	
ein bisschen grün	172	
ein bisschen Klarheit	172	
ein bisschen Interesse	172	
ein bisschen Gesellschaft	172	
ein bisschen Gedanken	172	
ein bißchen Sonne	171	
ein bisschen unrealistisch	171	
ein bisschen differenzierter	171	
Ein bisschen schwanger	171	
ein bißchen skeptisch	170	
ein bisschen mühsam	170	
ein bisschen hilflos	170	
ein bißchen Erfahrung	169	
ein bisschen voreilig	169	
ein bisschen ahnung	169	
ein bisschen Energie	169	
ein bisschen Fleisch	168	
ein bisschen Abenteuer	168	
ein bisschen kindisch	167	
ein bisschen frischen	167	
ein bisschen fremd	167	
ein bisschen Fett	167	
ein bisschen zickig	166	
ein bisschen unscharf	166	
ein bisschen offen	166	
ein bisschen Feuer	166	
ein bisschen dünn	164	
ein bisschen holprig	163	
ein bisschen Dreck	163	
ein bisschen trocken	162	
ein bisschen kühler	162	
ein bisschen Milch	162	
ein bisschen unruhig	161	
ein bisschen eintönig	161	
ein bisschen Ironie	161	
ein bisschen weicher	160	
ein bißchen Phantasie	159	
ein bisschen übersichtlicher	159	
ein bisschen rumprobieren	159	
ein bißchen müde	157	
ein bisschen witzig	157	
ein bisschen locker	157	
ein bisschen Ablenkung	157	
ein bißchen Licht	155	
ein bisschen wild	155	
ein bisschen wackelig	155	
ein bisschen jung	155	
ein bisschen bescheuert	155	
ein bisschen Staub	155	
ein bisschen Sinn	155	
ein bisschen streng	154	
ein bisschen ironisch	154	
ein bisschen Grips	154	
ein bißchen schwanger	153	
ein bißchen kurz	153	
ein bißchen ruhiger	152	
ein bißchen klein	152	
ein bisschen spaß	152	
ein bißchen dumm	151	
ein bißchen Hoffnung	151	
ein bisschen Ähnlichkeit	151	
ein bisschen Aufregung	151	
ein bißchen vorsichtig	150	
ein bißchen schlauer	150	
ein bisschen suspekt	150	
ein bisschen lästig	150	
ein bißchen Musik	149	
ein bisschen zäh	149	
ein bisschen paranoid	149	
ein bisschen misstrauisch	149	
ein bisschen extrem	149	
ein bisschen Gemüse	149	
ein bißchen teuer	148	
ein bißchen schlau	148	
ein bisschen Verspätung	148	
ein bißchen Abstand	147	
ein bisschen geduld	147	
ein bisschen frischer	147	
ein bißchen unheimlich	146	
ein bißchen eng	146	
ein bisschen überraschend	146	
ein bisschen schwächer	146	
ein bisschen hektisch	146	
ein bisschen empfindlich	146	
ein bisschen Freiheit	146	
ein bisschen weich	145	
ein bisschen Sightseeing	145	
ein bisschen übung	144	
ein bisschen unklar	144	
ein bisschen flotter	144	
ein bisschen einseitig	144	
ein bisschen deutsch	144	
ein bisschen schön	143	
ein bisschen dreist	143	
ein bisschen Taschengeld	143	
ein bisschen stark	142	
ein bisschen offener	142	
ein bisschen neu	142	
ein bisschen Schatten	142	
ein bisschen Chaos	142	
Ein bisschen Werbung	142	
ein bißchen Japan	141	
ein bisschen bekloppt	141	
ein bisschen melancholisch	140	
ein bißchen Hilfe	139	
ein bisschen Talent	139	
