# Frequency list

# Corpus: decow16b
# Query:  "[eE]in" "[bB]i(ss|ß)chen" [tag="ADJ.*|N.*"] 548922

# Frequency limit: 0


Lemma	Frequency	
-------------------------------------------------------
eine bisschen (unknown)	34636	
eine bisschen gut	14002	
eine bisschen Zeit	12621	
eine bisschen lang	8619	
eine bisschen Glück	8013	
eine bisschen Geld	5697	
eine bisschen Spaß	5312	
eine bisschen Angst	5159	
eine bisschen komisch	4923	
eine bisschen spät	4548	
eine bisschen genau	4071	
eine bisschen groß	3720	
eine bisschen Geduld	3251	
eine bisschen schnell	3231	
eine bisschen schwierig	3229	
eine bisschen stolz	3043	
eine bisschen frisch	2948	
eine bisschen traurig	2928	
eine bisschen schwer	2899	
eine bisschen schade	2876	
eine bisschen Übung	2647	
eine bisschen alt	2520	
eine bisschen blöd	2517	
eine bisschen weit	2488	
eine bisschen klein	2418	
eine bisschen langweilig	2307	
eine bisschen nah	2248	
eine bisschen teuer	2221	
eine bisschen Werbung	2194	
eine bisschen hoch	2068	
eine bisschen warm	1917	
eine bisschen Gameplay	1832	
eine bisschen peinlich	1769	
eine bisschen Abwechslung	1735	
eine bisschen kurz	1680	
eine bisschen Ruhe	1672	
eine bisschen schlau	1643	
eine bisschen langsam	1610	
eine bisschen neidisch	1563	
eine bisschen Ahnung	1556	
eine bisschen hart	1553	
eine bisschen seltsam	1545	
eine bisschen doof	1542	
eine bisschen enttäuscht	1517	
eine bisschen schlecht	1492	
eine bisschen Mut	1475	
eine bisschen arg	1474	
eine bisschen früh	1423	
eine bisschen einfach	1353	
eine bisschen leicht	1325	
eine bisschen Wasser	1306	
eine bisschen Arbeit	1297	
eine bisschen Farbe	1293	
eine bisschen Frieden	1273	
eine bisschen skeptisch	1272	
eine bisschen ruhig	1265	
eine bisschen tief	1243	
eine bisschen nervös	1240	
eine bisschen vorsichtig	1238	
eine bisschen Hilfe	1237	
eine bisschen merkwürdig	1226	
eine bisschen müde	1213	
eine bisschen weh	1208	
eine bisschen Luft	1200	
eine bisschen Erfahrung	1189	
eine bisschen Hoffnung	1149	
eine bisschen Platz	1109	
eine bisschen leid	1087	
eine bisschen Mühe	1085	
eine bisschen Sorge|Sorgen	1054	
eine bisschen schwanger	1046	
eine bisschen Musik	1040	
eine bisschen laut	1039	
eine bisschen eng	1026	
eine bisschen Licht	1021	
eine bisschen gegoogelt	988	
eine bisschen dick	986	
eine bisschen Abstand	966	
eine bisschen stark	953	
eine bisschen schön	949	
eine bisschen dumm	936	
eine bisschen Wehmut	931	
eine bisschen Sonne	923	
eine bisschen dunkel	912	
eine bisschen billig	909	
eine bisschen Bewegung	909	
eine bisschen unheimlich	876	
eine bisschen locker	839	
eine bisschen Pech	821	
eine bisschen nervig	814	
eine bisschen mulmig	795	
eine bisschen schwach	782	
eine bisschen gemein	780	
eine bisschen unsicher	771	
eine bisschen Sport	769	
eine bisschen Druck	751	
eine bisschen verwirrend	733	
eine bisschen falsch	730	
eine bisschen naiv	694	
eine bisschen heftig	690	
eine bisschen deutsch	690	
eine bisschen Fantasie	683	
eine bisschen sauer	681	
eine bisschen kalt	676	
eine bisschen lächerlich	675	
eine bisschen Stolz	672	
eine bisschen lustig	660	
eine bisschen Respekt	660	
eine bisschen knapp	647	
eine bisschen Liebe	647	
eine bisschen anstrengend	645	
eine bisschen Geschick	645	
eine bisschen Leben	640	
eine bisschen Problem	625	
eine bisschen albern	621	
eine bisschen umständlich	619	
eine bisschen hell	614	
eine bisschen Kritik	612	
eine bisschen ratlos	611	
eine bisschen nett	605	
eine bisschen unglücklich	593	
eine bisschen Action	593	
eine bisschen wehmütig	591	
eine bisschen unfair	591	
eine bisschen Schnee	581	
eine bisschen klar	578	
eine bisschen Spannung	575	
eine bisschen Blut	572	
eine bisschen Unterstützung	571	
eine bisschen Phantasie	562	
eine bisschen Bammel	555	
eine bisschen verrückt	554	
eine bisschen Wind	552	
eine bisschen ähnlich	551	
eine bisschen Ordnung	543	
eine bisschen frech	541	
eine bisschen gruselig	533	
eine bisschen rot	530	
eine bisschen ausführlich	530	
eine bisschen Regen	530	
eine bisschen komplizierter	529	
eine bisschen Luxus	528	
eine bisschen Aufmerksamkeit	523	
eine bisschen jung	507	
eine bisschen angst	501	
eine bisschen dünn	499	
eine bisschen Kohle	499	
eine bisschen glücklich	493	
eine bisschen bunt	492	
eine bisschen böse	489	
eine bisschen Sorge	489	
eine bisschen OT	487	
eine bisschen Freude	485	
eine bisschen leise	481	
eine bisschen neugierig	480	
