# Frequency list

# Corpus: decow16b
# Query:  "[Ee]in" "[Bb]i(ß|ss)chen" "zu" [tag="ADJ.*"] 21156

# Frequency limit: 0


Lemma	Frequency	
-------------------------------------------------------
eine bisschen zu weit	1004	
eine bisschen zu kurz	727	
eine bisschen zu spät	695	
eine bisschen zu groß	668	
eine bisschen zu schnell	631	
eine bisschen zu hoch	573	
eine bisschen zu früh	546	
eine bisschen zu einfach	441	
eine bisschen zu lang	418	
eine bisschen zu klein	407	
eine bisschen zu teuer	378	
eine bisschen zu (unknown)	271	
ein bisschen zu weit	259	
eine bisschen zu stark	242	
eine bisschen zu gut	231	
eine bisschen zu dick	230	
eine bisschen zu hart	221	
ein bisschen zu schnell	220	
eine bisschen zu alt	215	
eine bisschen zu jung	189	
ein bisschen zu einfach	153	
eine bisschen zu schwer	148	
eine bisschen zu langsam	143	
eine bisschen zu laut	141	
eine bisschen zu heftig	135	
eine bisschen zu leicht	129	
ein bisschen zu groß	122	
eine bisschen zu tief	119	
eine bisschen zu warm	118	
eine bisschen zu kalt	118	
eine bisschen zu dünn	115	
ein bisschen zu hoch	110	
eine bisschen zu eng	106	
eine bisschen zu dunkel	105	
eine bisschen zu ernst	100	
eine bisschen zu krass	97	
ein bisschen zu spät	97	
eine bisschen zu heiß	96	
ein bisschen zu kurz	91	
ein bisschen zu teuer	87	
eine bisschen zu verkrampft	85	
eine bisschen zu hell	85	
eine bisschen zu bunt	85	
eine bisschen zu langweilig	82	
eine bisschen zu nah	79	
ein bisschen zu klein	79	
ein bisschen zu früh	79	
eine bisschen zu schwach	72	
ein bisschen zu lang	71	
eine bisschen zu ruhig	69	
eine bisschen zu voll	67	
eine bisschen zu extrem	66	
eine bisschen zu breit	65	
eine bisschen zu glatt	62	
eine bisschen zu simpel	56	
eine bisschen zu knapp	56	
eine bisschen zu optimistisch	54	
ein bisschen zu hart	54	
eine bisschen zu weich	53	
eine bisschen zu perfekt	51	
eine bisschen zu doll	51	
ein bisschen zu alt	51	
eine bisschen zu süß	48	
ein bisschen zu leicht	48	
ein bisschen zu dick	48	
ein bisschen zu eng	46	
eine bisschen zu leise	45	
eine bisschen zu fest	45	
ein bisschen zu gut	45	
eine bisschen zu kompliziert	44	
eine bisschen zu faul	43	
eine bisschen zu arg	42	
ein bisschen zu stark	42	
eine bisschen zu niedrig	41	
