Metatag1,Left,Key,Right,Key_with_anno,Tag1_Key,Tag2_Key,Tag3_Key,Lemma
29efe4d1e041ec1fc51553ee62b167c8cd06,"verschränkt ( in einem Winkel angeordnet ) sind . Die Federwege betragen 190 mm mit Straßenreifen , bei Umrüstung auf Rennreifen stehen noch 175 mm zur Verfügung . Die Achse besaß jetzt keinen Fahrschemel mehr , der ursprünglich - auf ",eine Idee Nallingers," zurückgehend - dazu diente , den Fahrkomfort zu steigern , in dem Fahrwerkskomponenten an diesem über Gummielemente mit härterer Mischung befestigt waren , während der Schemel selbst mit der Karosse über weit auseinander liegende , ", eine /ART/eine  Idee /NN/Idee  Nallingers /NN/(unknown) ,eine Idee Nallingers,ART NN NN,eine Idee (unknown),(unknown)
dd3dedad7840238a6f8bbe152ea3e31a8678,"Strecke von Regensburg nach Ringsheim über Frankfurt am Main empfohlen . Da wären wir 10 Stunden unterwegs und es würde uns einfach minderstens 50 , - EUR kosten . Ich wohne übrigens in Bayern ( Teublitz ) nahe Regensburg . Dann habe ich heute ",eine Idee gehabt," und dachte mir man könnte anstatt teuere Einzeltickets auch die Ländertickets kaufen . Mit 4 Personen würden wir anstatt min 200 , - nur knapp 60 , - EUR zahlen , wenn eine Anreise von Regensburg nach Stuttgart und von Stuttgart nach ", eine /ART/eine  Idee /NN/Idee  gehabt /ADJD/gehabt ,eine Idee gehabt,ART NN ADJD,eine Idee gehabt,gehabt
fd393c306265cd82124ba3a92884199b7b77,"bekommen , da sind aber neue Radbremszylinder drin und neue Backen . Praktisch sofort montagefähig . Für 20 € bekomme ich nicht mal eine hinteren Bremssattel , der noch geht . @GTX Nix Gierling , ATE ! Die Gierlings vom Omega sind noch ",eine Idee größer," , sind für Scheiben mit 296 mm oder sogar noch mehr . Solche habe ich aus versehen auch schon ersteigert . Da geht aber mit den 15 Zoll Felgen nichts mehr , drum ist das nix , weil ich ja auch Standreifen brauche . Die Hülsen werden nicht das ", eine /ART/eine  Idee /NN/Idee  größer /ADJD/groß ,eine Idee größer,ART NN ADJD,eine Idee groß,groß
c76ba4774e45b4a0e99172c58a449168f7df,"of ECW "" unglaublich erfolgreich war ( damals zweiterfolgreichste WWE DVD aller Zeiten ) , fand jedoch ein Umdenken bei der DVD statt und man entschloß sich doch mehr aus der Marke ECW zu machen . Der erste One Night Stand war ursprünglich ",eine Idee Rob," Van Dams . Dieser hatte sie dann Vince McMahon vorgetragen und bei diesem ein offenes Ohr gefunden . Die ECW Wiederbelebung im Jahr 2006 wurde von Paul Heyman und Vince McMahon gemeinsam eingeleitet , wobei Heyman zunächst für ", eine /ART/eine  Idee /NN/Idee  Rob /NE/Rob ,eine Idee Rob,ART NN NE,eine Idee Rob,Rob
fc8cef7e4254b24b8a7873371e3f4a215cac,"Suburbia , lotet aber auch weitere Aspekte der amerikanischen Gesellschaft aus . Die verschiedenen House-America-Arbeiten sind Modellenvironments , und abgesehen davon , dass sie sich einer spezifischen Thematik widmen , lassen sie ",eine Idee deutlich," werden , die in Vogls Werk zunehmend an Bedeutung gewann : die Idee der Energie - oder Kraftübertragung , durch die eine Verbindung zwischen zwei getrennten Objekten entsteht . Mit House America / Water Towers ( 2004 ) beginnt Vogl , die Idee ", eine /ART/eine  Idee /NN/Idee  deutlich /ADJD/deutlich ,eine Idee deutlich,ART NN ADJD,eine Idee deutlich,deutlich
3edb33c56f8557fe1824baadbecc12c8a46c,", wir wachsen gerade in unsere neuen Rollen hinein . Mein Bruder ist vor allem für Technik , Redaktion und Community Management verantwortlich , ich für Marketing und Business Development . Insgesamt ist es sehr spannend zu sehen , wie ",eine Idee Gestalt, annimmt und wächst ! Klaus-Martin Meyer : Im Gegensatz zu anderen ähnlich gelagerten Gründungen könnt Ihr Euch schon auf eine gewisse Userbase stützen . Wie groß ist dieser Vorteil ? Viktoria Trosien : Ohne Frage war die existierende , eine /ART/eine  Idee /NN/Idee  Gestalt /NN/Gestalt ,eine Idee Gestalt,ART NN NN,eine Idee Gestalt,Gestalt
31ceb7eadf5ed2e50a397472b810b7015c9c,"Unternavigation Zum Seiteninhalt . Kontakt|Impressum|Login Unsere Ziele Unsere Projekte Unsere Mitglieder Jobs im VC News &amp; Termine Neues vom Verpackungscluster News unserer Mitglieder Termine Innovationspreis 2011 verliehen "" ",Eine Idee besser," "" - unter diesem Motto stand der "" Innovationspreis 2011 des Landkreises Göttingen "" 12 Unternehmen wurden am 10. Oktober 2011 im Deutschen Theater in Göttingen vor rund 500 geladenen Gästen aus Wirtschaft , Wissenschaft und Politik für ", Eine /ART/eine  Idee /NN/Idee  besser /ADJD/gut ,Eine Idee besser,ART NN ADJD,eine Idee gut,gut
7722eb68beff300ffdca496b39c2d49e96c7,"Der Mensch hat inzwischen durch die Nutzung der Nuklearkraft die Möglichkeit , dies zu tun , er kann alles Leben auf der Erde auslöschen . Er hat die totale Allmacht über die Idee als solche erreicht . Gleichzeitig hat er auch die Speicherung ",einer Idee unabhängig," vom Leben als solchem gemacht , indem er jede Idee auch außerhalb des lebenden Körpers zu speichern vermag . Der Mensch hat damit einen neuen Erbweg geschaffen und sich aus dem Pflanzenreich und dem Tierreich herausgehoben . Mit Hegel ", einer /ART/eine  Idee /NN/Idee  unabhängig /ADJD/unabhängig ,einer Idee unabhängig,ART NN ADJD,eine Idee unabhängig,unabhängig
265719afe183ad7962183a1151f985533f4d,"etwas zu bewegen , Potential ist überall da . Was fehlt ist meistens das Engagement . Doch wenn es jemanden gibt der sagt , dass kann so nicht weitergehen , und auch nur mit Kleinigkeiten beginnt die Sache anzugehen . Dann kann aus ",einer Idee schnell," etwas Größeres und Bedeutenderes werden . Und schon wären wir wieder bei meiner Überschrift angekommen "" Die Verfassung muss gelebt werden "" . Sie kann nur dann Leben und überleben wenn es Menschen gibt die sich für andere , für eine gute ", einer /ART/eine  Idee /NN/Idee  schnell /ADJD/schnell ,einer Idee schnell,ART NN ADJD,eine Idee schnell,schnell
6a49c4f4e1b6358171e6303b269089df8a8e,"Entwicklung und Herstellung von degradablen Implantaten , wie z.B. Schrauben , Platten , Pins , etc. DeMeTec GmbH Kundenspezifische Hard - und Softwareentwicklung für die Medizin - und Meßtechnik . Die Martin-Gruppe - der Erfolg ",einer Idee Martin, ist die Marketing-Organisation von sieben spezialisierten Herstellern für Medizintechnik . Dietz GmbH Reha-Produkte und Hilfsmittel . Kompetenz beim Kernprodukt Rollstuhl . Dobert GmbH Chirurgischer Metalldetektor mit , einer /ART/eine  Idee /NN/Idee  Martin /NE/Martin ,einer Idee Martin,ART NN NE,eine Idee Martin,Martin
