Source,Target,Type,Id,Label,Weight,att1,att2,Weight_copy
1,635,Undirected,0,,11911.660156,11911.66272,ein Fünkchen,11911.660156
2,635,Undirected,1,,8299.301758,8299.30163,ein Fünkchen,8299.301758
3,635,Undirected,2,,640.718872,640.71887,ein Fünkchen,640.718872
4,635,Undirected,3,,382.485291,382.48528,ein Fünkchen,382.485291
5,635,Undirected,4,,222.105392,222.10542,ein Fünkchen,222.105392
6,635,Undirected,5,,176.615601,176.61564,ein Fünkchen,176.615601
7,635,Undirected,6,,145.968094,145.96813,ein Fünkchen,145.968094
8,635,Undirected,7,,117.016502,117.01655,ein Fünkchen,117.016502
9,635,Undirected,8,,110.035202,110.03522,ein Fünkchen,110.035202
10,635,Undirected,9,,108.948799,108.94885,ein Fünkchen,108.948799
11,635,Undirected,10,,108.4925,108.49251,ein Fünkchen,108.4925
12,635,Undirected,11,,107.801697,107.80173,ein Fünkchen,107.801697
13,635,Undirected,12,,105.469101,105.46914,ein Fünkchen,105.469101
14,635,Undirected,13,,76.234154,76.23415,ein Fünkchen,76.234154
15,635,Undirected,14,,75.651894,75.65189,ein Fünkchen,75.651894
16,635,Undirected,15,,74.286888,74.28689,ein Fünkchen,74.286888
17,635,Undirected,16,,73.903084,73.90308,ein Fünkchen,73.903084
18,635,Undirected,17,,73.698151,73.69815,ein Fünkchen,73.698151
19,635,Undirected,18,,70.904663,70.90466,ein Fünkchen,70.904663
20,635,Undirected,19,,64.623093,64.62309,ein Fünkchen,64.623093
21,635,Undirected,20,,62.04995,62.04995,ein Fünkchen,62.04995
22,635,Undirected,21,,59.34845,59.34845,ein Fünkchen,59.34845
23,635,Undirected,22,,57.486279,57.48628,ein Fünkchen,57.486279
24,635,Undirected,23,,55.10923,55.10923,ein Fünkchen,55.10923
25,635,Undirected,24,,52.737789,52.73779,ein Fünkchen,52.737789
26,635,Undirected,25,,52.635429,52.63543,ein Fünkchen,52.635429
27,635,Undirected,26,,49.868568,49.86857,ein Fünkchen,49.868568
28,635,Undirected,27,,49.086029,49.08603,ein Fünkchen,49.086029
29,635,Undirected,28,,48.069839,48.06984,ein Fünkchen,48.069839
30,635,Undirected,29,,47.73452,47.73452,ein Fünkchen,47.73452
31,635,Undirected,30,,47.646671,47.64667,ein Fünkchen,47.646671
32,635,Undirected,31,,46.54615,46.54615,ein Fünkchen,46.54615
33,635,Undirected,32,,44.403728,44.40373,ein Fünkchen,44.403728
34,635,Undirected,33,,43.817711,43.81771,ein Fünkchen,43.817711
35,635,Undirected,34,,42.671982,42.67198,ein Fünkchen,42.671982
36,635,Undirected,35,,42.23954,42.23954,ein Fünkchen,42.23954
37,635,Undirected,36,,41.680389,41.68039,ein Fünkchen,41.680389
38,635,Undirected,37,,40.940762,40.94076,ein Fünkchen,40.940762
39,635,Undirected,38,,40.420952,40.42095,ein Fünkchen,40.420952
40,635,Undirected,39,,37.65033,37.65033,ein Fünkchen,37.65033
41,635,Undirected,40,,34.97884,34.97884,ein Fünkchen,34.97884
42,635,Undirected,41,,34.593632,34.59363,ein Fünkchen,34.593632
43,635,Undirected,42,,34.172722,34.17272,ein Fünkchen,34.172722
44,635,Undirected,43,,33.945599,33.9456,ein Fünkchen,33.945599
45,635,Undirected,44,,33.147308,33.14731,ein Fünkchen,33.147308
46,635,Undirected,45,,32.982498,32.9825,ein Fünkchen,32.982498
47,635,Undirected,46,,32.522221,32.52222,ein Fünkchen,32.522221
48,635,Undirected,47,,31.82859,31.82859,ein Fünkchen,31.82859
49,635,Undirected,48,,31.011391,31.01139,ein Fünkchen,31.011391
50,635,Undirected,49,,30.992041,30.99204,ein Fünkchen,30.992041
51,635,Undirected,50,,30.61104,30.61104,ein Fünkchen,30.61104
52,635,Undirected,51,,30.22094,30.22094,ein Fünkchen,30.22094
53,635,Undirected,52,,29.380831,29.38083,ein Fünkchen,29.380831
54,635,Undirected,53,,28.880449,28.88045,ein Fünkchen,28.880449
55,635,Undirected,54,,28.880449,28.88045,ein Fünkchen,28.880449
56,635,Undirected,55,,28.880449,28.88045,ein Fünkchen,28.880449
57,635,Undirected,56,,28.86627,28.86627,ein Fünkchen,28.86627
58,635,Undirected,57,,28.792089,28.79209,ein Fünkchen,28.792089
59,635,Undirected,58,,28.65188,28.65188,ein Fünkchen,28.65188
60,635,Undirected,59,,27.90111,27.90111,ein Fünkchen,27.90111
61,635,Undirected,60,,27.038931,27.03893,ein Fünkchen,27.038931
62,635,Undirected,61,,26.945089,26.94509,ein Fünkchen,26.945089
63,635,Undirected,62,,26.107861,26.10786,ein Fünkchen,26.107861
64,635,Undirected,63,,24.738291,24.73829,ein Fünkchen,24.738291
65,635,Undirected,64,,24.73814,24.73814,ein Fünkchen,24.73814
66,635,Undirected,65,,24.394171,24.39417,ein Fünkchen,24.394171
67,635,Undirected,66,,24.09339,24.09339,ein Fünkchen,24.09339
68,635,Undirected,67,,23.684771,23.68477,ein Fünkchen,23.684771
69,635,Undirected,68,,23.29328,23.29328,ein Fünkchen,23.29328
70,635,Undirected,69,,23.02877,23.02877,ein Fünkchen,23.02877
71,635,Undirected,70,,22.60148,22.60148,ein Fünkchen,22.60148
72,635,Undirected,71,,22.547991,22.54799,ein Fünkchen,22.547991
73,635,Undirected,72,,22.046101,22.0461,ein Fünkchen,22.046101
74,635,Undirected,73,,21.88357,21.88357,ein Fünkchen,21.88357
75,635,Undirected,74,,21.757271,21.75727,ein Fünkchen,21.757271
76,635,Undirected,75,,21.39913,21.39913,ein Fünkchen,21.39913
77,635,Undirected,76,,20.839821,20.83982,ein Fünkchen,20.839821
78,635,Undirected,77,,20.550261,20.55026,ein Fünkchen,20.550261
79,635,Undirected,78,,19.557871,19.55787,ein Fünkchen,19.557871
80,635,Undirected,79,,19.44039,19.44039,ein Fünkchen,19.44039
81,635,Undirected,80,,19.2701,19.2701,ein Fünkchen,19.2701
82,635,Undirected,81,,18.43199,18.43199,ein Fünkchen,18.43199
83,635,Undirected,82,,17.918591,17.91859,ein Fünkchen,17.918591
84,635,Undirected,83,,17.89208,17.89208,ein Fünkchen,17.89208
85,635,Undirected,84,,17.83073,17.83073,ein Fünkchen,17.83073
86,635,Undirected,85,,17.821171,17.82117,ein Fünkchen,17.821171
87,635,Undirected,86,,17.78336,17.78336,ein Fünkchen,17.78336
88,635,Undirected,87,,17.422729,17.42273,ein Fünkchen,17.422729
89,635,Undirected,88,,16.42848,16.42848,ein Fünkchen,16.42848
90,635,Undirected,89,,15.81058,15.81058,ein Fünkchen,15.81058
91,635,Undirected,90,,15.55225,15.55225,ein Fünkchen,15.55225
92,635,Undirected,91,,15.48994,15.48994,ein Fünkchen,15.48994
93,635,Undirected,92,,15.43688,15.43688,ein Fünkchen,15.43688
